"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","phase","trial_name","trial_num","key_selected","card_selected","reward","question_order","type_of_trial","block_type","block","index_right","index_left","prob_selected","prob_unselected"
"pavlovia","0","3227","0.0-0.0","5c71b17c891e3200012477a2","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","31589","0.0-1.0","5c71b17c891e3200012477a2","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","",""
"html-button-response","2","39954","0.0-2.0","5c71b17c891e3200012477a2","","","","","","8364","You can participate in this experiment only if you answer all the following criteria: <br><br>1.You are aged between 18 and 50<br><br>2.You are not currently diagnosed with any neurlogical or psychiatric condition<br><br>3.You never had a brain injury<br><br>4.You have no form of color vision deficiency<br><br>","0","","","","","","","","","","","","","","",""
"html-button-response","3","45754","0.0-3.0","5c71b17c891e3200012477a2","","","","","","5799","<h2><b>Consent to participate in a research:</b></h2><p><strong>Greetings and thank you for your willingness to participate in this research.</strong> This study aims to examine learning mechanisms. Specifically, it seeks to improve and strengthen the diagnosis and treatment of mental disorders in the future. Hence, your participation is highly valued and contributes significantly.</p><p>For your participation, you will monetary compensation. Additionally, you could win a cash bonus based on your performance (details will be provided later in the form). Finally, at the end of the experiment, we would appreciate discussing the research questions further and sharing the results with you.</p><p><b>Participation Criteria:</b></p><p>The experiment is intended for young adults aged <strong>18 to 50</strong>. You cannot participate if you regularly use psychiatric or neurological medications, have a psychiatric/neurological diagnosis (including attention deficit hyperactivity disorder - ADHD), a history of head injuries, epilepsy, learning disabilities, or color blindness.</p><p><b>Procedure:</b></p><p>The study will be conducted online using your computer at home. During the experiment, we will track your learning patterns through a simple computer game. The game will display images on the screen, and you will make choices during the game to maximize profits according to rules explained during the experiment itself. The experiment is expected to take about half an hour. Upon completion of participation, compensation will be provided as agreed, and we will offer a full debriefing regarding the research goals and hypotheses.</p><p><b>Expected Risks and Termination of the Experiment:</b></p><p>The expected risks and discomforts in this study are minimal and include potential discomfort during the performance of the computer task. You have the right to withdraw from the experiment at any stage. In case of withdrawal, partial compensation will be provided based on the duration of your participation.</p><p><b>Compensation for Participation:</b></p><p>For completing the experiment,&pound6 per hour will be given. In addition a cash prize will be awarded based on performance in the task. Throughout the task, you can collect points (gold coins). At the end of the task, the number of points you accumulated will be calculated. The amount of points depends on your ability to perform the experiment well, similar to scoring in a computer game. </p><p><b>Anonymity and Data Protection:</b></p><p>The information collected during the experiment will be kept solely on the lab computers and will be not be linked personally to you. </p>","0","","","","","","","","","","","","","","",""
"fullscreen","4","49028","0.0-4.0","5c71b17c891e3200012477a2","true","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","148483","0.0-5.0-0.0-0.0","5c71b17c891e3200012477a2","","","","","","99454","","","[{""page_index"":0,""viewing_time"":1244},{""page_index"":1,""viewing_time"":10464},{""page_index"":2,""viewing_time"":4392},{""page_index"":3,""viewing_time"":3840},{""page_index"":4,""viewing_time"":9210},{""page_index"":5,""viewing_time"":7911},{""page_index"":6,""viewing_time"":5991},{""page_index"":7,""viewing_time"":1912},{""page_index"":8,""viewing_time"":5128},{""page_index"":9,""viewing_time"":11833},{""page_index"":10,""viewing_time"":10310},{""page_index"":11,""viewing_time"":7952},{""page_index"":12,""viewing_time"":19265}]","","","","","","","","","","","","","",""
"html-keyboard-response","6","151733","0.0-5.0-0.0-1.0","5c71b17c891e3200012477a2","","","","","","3249","<div>We will now start a few practice trials. <br> Please be ready with your fingers on <b>'S'</b> and <b>'K'</b>. <br><br> <b> Press any key to begin</b></div>","s","","","","","","","","","","","","","","",""
"html-keyboard-response","7","153636","0.0-5.0-0.0-2.0-0.0","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","8","155075","0.0-5.0-0.0-2.0-1.0","5c71b17c891e3200012477a2","","","","","","1437","<img class='card_left' src='images/old/20.jpg'><img class='card_right' src='images/old/19.jpg'><div class=""fixation"">+</div>","k","","practice","cards","0","","","","","","","","","","",""
"html-keyboard-response","9","155584","0.0-5.0-0.0-2.0-2.0","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/19.jpg'><div class=""fixation"">+</div>","null","","practice","choice","0","1","2","","","","","","","","",""
